Attrition,YearsAtCompany,Age,Department,Education,EducationField,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
No,1,45,Research & Development,3,Life Sciences,Female,2,1,Research Scientist,3,Single,2274,No,14,3,1,3,3,0,0,0
No,1,37,Sales,4,Marketing,Male,2,2,Sales Executive,3,Divorced,6334,No,19,3,9,2,3,0,0,0
Yes,1,32,Research & Development,4,Life Sciences,Male,3,1,Laboratory Technician,4,Single,2795,Yes,24,4,1,2,1,0,0,1
Yes,1,58,Research & Development,1,Life Sciences,Male,2,1,Laboratory Technician,4,Divorced,2380,Yes,14,3,3,3,2,0,0,0
No,1,43,Research & Development,3,Life Sciences,Female,3,2,Manufacturing Director,2,Divorced,4765,No,21,4,4,2,4,0,0,0
Yes,1,21,Research & Development,1,Other,Female,3,1,Research Scientist,4,Single,2693,No,19,3,1,3,2,0,0,0
No,1,27,Research & Development,3,Life Sciences,Female,3,1,Research Scientist,3,Single,2318,No,19,3,1,2,3,1,0,0
No,1,34,Research & Development,3,Life Sciences,Male,3,1,Laboratory Technician,2,Divorced,2008,No,14,3,1,3,3,0,1,0
Yes,1,25,Sales,2,Marketing,Male,2,1,Sales Representative,2,Married,2413,Yes,18,3,1,2,3,0,0,0
No,1,40,Sales,4,Marketing,Male,2,3,Sales Executive,2,Divorced,9705,No,12,3,11,2,2,0,0,0
Yes,1,19,Sales,3,Other,Male,2,1,Sales Representative,2,Single,2121,Yes,13,3,1,3,4,0,0,0
Yes,1,20,Research & Development,3,Technical Degree,Male,3,1,Laboratory Technician,1,Single,2973,No,19,3,1,2,3,0,0,0
No,1,40,Research & Development,4,Medical,Male,3,1,Research Scientist,2,Divorced,3617,Yes,14,3,3,2,3,1,0,0
Yes,1,58,Research & Development,3,Technical Degree,Male,3,1,Research Scientist,3,Single,2479,No,24,4,7,4,3,0,0,0
Yes,1,40,Sales,3,Life Sciences,Female,4,4,Sales Executive,2,Single,13194,Yes,16,3,22,2,2,0,0,0
Yes,1,20,Research & Development,3,Medical,Female,2,1,Research Scientist,1,Single,2600,Yes,15,3,1,2,3,0,0,0
No,1,42,Sales,2,Marketing,Male,3,5,Manager,3,Married,18303,No,13,3,21,3,4,0,0,0
No,1,50,Research & Development,3,Life Sciences,Male,3,1,Laboratory Technician,4,Married,2380,No,18,3,8,5,3,0,0,0
Yes,1,37,Research & Development,2,Medical,Female,1,2,Healthcare Representative,2,Married,4777,No,15,3,15,2,1,0,0,0
No,1,38,Sales,4,Life Sciences,Male,3,2,Sales Executive,4,Single,6861,Yes,12,3,19,1,3,0,0,0
Yes,1,36,Research & Development,3,Other,Male,3,2,Laboratory Technician,3,Divorced,4834,No,14,3,9,3,2,0,0,0
No,1,34,Sales,4,Life Sciences,Female,3,1,Sales Representative,3,Married,2220,Yes,19,3,1,2,3,1,0,0
No,1,28,Sales,1,Medical,Male,3,1,Sales Representative,2,Married,1052,No,22,4,1,5,3,0,0,0
No,1,43,Sales,3,Medical,Male,2,3,Sales Executive,4,Divorced,10798,No,13,3,18,5,3,0,0,0
Yes,1,21,Research & Development,3,Life Sciences,Female,2,1,Laboratory Technician,1,Single,1416,No,13,3,1,6,2,0,1,0
No,1,37,Sales,4,Life Sciences,Female,2,2,Sales Executive,4,Divorced,6694,Yes,14,3,8,5,3,0,0,0
Yes,1,26,Research & Development,3,Medical,Male,3,1,Laboratory Technician,3,Divorced,2377,No,20,4,1,0,2,1,0,0
Yes,1,28,Research & Development,3,Medical,Male,2,1,Laboratory Technician,2,Divorced,2596,No,15,3,1,2,3,0,0,0
No,1,38,Sales,2,Marketing,Male,3,3,Sales Executive,2,Single,7351,No,16,3,10,2,3,0,0,0
No,1,42,Research & Development,3,Medical,Male,1,2,Laboratory Technician,4,Single,4272,No,19,3,16,3,3,0,0,0
No,1,41,Research & Development,4,Life Sciences,Male,3,1,Laboratory Technician,4,Married,4766,Yes,11,3,6,4,3,0,0,0
Yes,1,28,Research & Development,1,Life Sciences,Female,3,1,Laboratory Technician,4,Married,2515,Yes,11,3,1,4,2,1,0,0
No,1,40,Research & Development,2,Medical,Female,2,2,Research Scientist,4,Married,4422,Yes,13,3,16,3,1,1,0,0
No,1,32,Sales,1,Life Sciences,Female,3,1,Sales Representative,1,Divorced,2827,No,12,3,1,3,3,0,0,0
No,1,19,Research & Development,2,Life Sciences,Male,3,1,Research Scientist,1,Single,2552,No,25,4,1,4,3,1,0,0
Yes,1,41,Research & Development,2,Life Sciences,Male,2,1,Research Scientist,1,Divorced,2107,No,17,3,5,2,1,0,0,0
Yes,1,24,Research & Development,2,Life Sciences,Female,3,1,Laboratory Technician,2,Married,2210,No,13,3,1,3,1,0,0,0
No,1,42,Research & Development,5,Medical,Female,3,3,Research Director,1,Married,13191,Yes,17,3,20,6,3,0,0,0
Yes,1,19,Research & Development,3,Medical,Female,2,1,Research Scientist,2,Single,1859,Yes,25,4,1,2,4,1,0,0
No,1,49,Research & Development,2,Medical,Male,2,5,Manager,3,Married,18711,No,13,3,23,2,4,0,0,0
No,1,48,Research & Development,2,Technical Degree,Male,4,1,Laboratory Technician,2,Single,2559,No,11,3,7,4,2,0,0,0
No,1,48,Research & Development,3,Life Sciences,Male,2,5,Research Director,4,Single,18265,No,12,3,25,3,4,0,0,0
No,1,34,Research & Development,3,Technical Degree,Female,4,1,Research Scientist,3,Married,2585,No,17,3,2,5,2,0,0,0
No,1,19,Research & Development,3,Life Sciences,Female,4,1,Research Scientist,4,Single,2994,Yes,12,3,1,2,3,0,0,1
No,1,23,Research & Development,2,Life Sciences,Male,3,1,Research Scientist,3,Married,1223,No,22,4,1,2,3,0,0,1
Yes,1,25,Sales,1,Life Sciences,Male,1,1,Sales Representative,4,Single,1118,Yes,14,3,1,4,3,0,1,0
No,1,42,Research & Development,4,Medical,Female,4,2,Research Scientist,2,Married,2372,Yes,16,3,18,2,3,0,0,0
No,1,27,Sales,3,Medical,Female,4,1,Sales Representative,4,Married,2534,No,14,3,5,4,3,0,0,0
Yes,1,31,Sales,3,Life Sciences,Female,2,1,Sales Representative,4,Single,2785,No,14,3,3,3,4,0,0,0
Yes,1,31,Sales,4,Life Sciences,Female,1,1,Sales Representative,3,Single,1359,No,12,3,1,3,3,0,0,0
Yes,1,31,Research & Development,3,Life Sciences,Female,2,1,Research Scientist,2,Single,1261,No,12,3,1,3,4,0,0,0
Yes,1,39,Research & Development,3,Life Sciences,Female,2,1,Laboratory Technician,1,Single,3646,Yes,23,4,11,2,4,0,0,0
No,1,44,Sales,5,Marketing,Female,3,2,Sales Executive,3,Married,4768,No,12,3,11,4,2,0,0,0
No,1,30,Research & Development,3,Technical Degree,Male,3,1,Research Scientist,3,Divorced,1274,No,13,3,1,2,2,0,0,0
No,1,35,Sales,1,Life Sciences,Male,3,1,Sales Representative,3,Married,2404,No,13,3,1,3,3,0,0,0
No,1,24,Sales,2,Life Sciences,Female,3,1,Sales Representative,2,Married,2033,No,13,3,1,2,3,0,0,0
No,1,28,Research & Development,3,Life Sciences,Male,2,1,Research Scientist,3,Divorced,1563,No,14,3,1,2,1,0,0,0
No,1,42,Research & Development,3,Medical,Male,2,1,Laboratory Technician,2,Married,4841,No,14,3,4,3,3,0,0,0
No,1,24,Research & Development,2,Technical Degree,Male,2,1,Laboratory Technician,1,Divorced,2296,No,14,3,2,3,3,1,0,0
No,1,29,Research & Development,3,Life Sciences,Male,4,1,Research Scientist,3,Married,2451,No,18,3,5,2,2,0,0,0
Yes,1,35,Research & Development,3,Life Sciences,Female,3,1,Laboratory Technician,1,Divorced,2074,Yes,12,3,1,2,3,0,0,0
No,1,34,Research & Development,4,Medical,Male,3,1,Research Scientist,4,Single,2972,No,13,3,1,4,1,0,0,0
No,1,26,Research & Development,3,Life Sciences,Female,3,1,Research Scientist,4,Married,2061,No,21,4,1,5,3,0,0,0
No,1,36,Sales,4,Life Sciences,Female,3,2,Sales Executive,3,Single,6815,No,13,3,15,5,3,0,0,0
No,1,50,Sales,3,Marketing,Male,3,5,Manager,3,Married,19331,Yes,16,3,27,2,3,0,0,0
No,1,42,Research & Development,2,Other,Male,2,5,Manager,4,Single,19613,No,22,4,24,2,3,0,0,1
No,1,35,Research & Development,2,Life Sciences,Male,2,1,Laboratory Technician,4,Married,2690,No,18,3,1,5,2,0,0,1
Yes,1,28,Research & Development,3,Medical,Male,3,1,Laboratory Technician,2,Married,2408,Yes,17,3,1,3,3,1,0,0
Yes,1,32,Research & Development,4,Life Sciences,Male,3,1,Laboratory Technician,2,Single,1393,No,12,3,1,2,3,0,0,0
No,1,60,Research & Development,4,Medical,Male,1,3,Healthcare Representative,4,Divorced,10883,No,20,4,19,2,4,0,0,0
Yes,1,24,Human Resources,1,Human Resources,Male,1,1,Human Resources,3,Married,1555,No,11,3,1,2,3,0,0,0
No,1,40,Research & Development,2,Life Sciences,Female,3,2,Manufacturing Director,1,Married,6516,Yes,16,3,18,3,3,0,0,0
No,1,47,Sales,4,Marketing,Male,3,2,Sales Executive,2,Married,4978,No,11,3,4,3,1,0,0,0
Yes,1,31,Sales,4,Marketing,Male,3,3,Sales Executive,3,Married,8161,No,13,3,10,2,3,0,0,0
No,1,29,Research & Development,3,Technical Degree,Female,2,1,Research Scientist,1,Divorced,2109,No,13,3,1,2,3,0,0,0
No,1,38,Research & Development,3,Medical,Male,1,2,Healthcare Representative,4,Married,5811,Yes,16,3,15,2,3,0,1,0
Yes,1,43,Research & Development,3,Technical Degree,Male,2,1,Research Scientist,3,Married,2437,Yes,16,3,6,4,3,0,0,0
No,1,55,Research & Development,3,Medical,Male,2,5,Research Director,1,Married,19038,No,12,3,34,2,3,0,0,0
Yes,1,21,Sales,1,Marketing,Male,3,1,Sales Representative,2,Single,2679,No,13,3,1,3,3,0,1,0
Yes,1,22,Research & Development,1,Medical,Female,3,1,Laboratory Technician,1,Married,2398,Yes,17,3,1,6,3,0,0,0
Yes,1,31,Human Resources,5,Human Resources,Male,4,1,Human Resources,1,Married,2956,No,17,3,2,4,3,0,0,0
No,1,36,Research & Development,4,Other,Female,3,2,Research Scientist,2,Married,6962,Yes,22,4,15,2,3,0,0,0
No,1,29,Human Resources,1,Medical,Male,2,1,Human Resources,2,Married,2804,No,11,3,1,3,3,0,0,0
Yes,1,29,Research & Development,2,Life Sciences,Male,2,1,Research Scientist,4,Single,2439,Yes,24,4,1,3,2,0,1,0
No,1,28,Sales,3,Medical,Female,3,1,Sales Representative,2,Married,2856,No,19,3,1,3,3,0,0,0
Yes,1,30,Sales,3,Medical,Male,3,1,Sales Representative,4,Single,1081,No,13,3,1,3,2,0,0,0
Yes,1,22,Research & Development,1,Life Sciences,Male,3,1,Research Scientist,2,Single,2472,Yes,23,4,1,2,3,0,0,0
No,1,26,Research & Development,2,Life Sciences,Female,2,1,Research Scientist,3,Married,2933,Yes,13,3,1,3,2,0,1,0
Yes,1,29,Sales,3,Technical Degree,Male,4,1,Sales Representative,1,Single,1091,No,17,3,1,3,3,0,0,0
No,1,58,Sales,3,Life Sciences,Female,3,4,Manager,4,Married,17875,Yes,13,3,29,2,2,0,0,0
Yes,1,27,Human Resources,3,Human Resources,Female,2,1,Human Resources,2,Married,2863,No,12,3,1,2,3,0,0,0
No,1,38,Sales,3,Life Sciences,Male,2,1,Sales Representative,1,Single,2858,No,14,3,20,3,2,0,0,0
No,1,32,Research & Development,4,Life Sciences,Male,2,2,Manufacturing Director,4,Single,9679,No,24,4,8,1,3,0,0,0
No,1,31,Research & Development,1,Medical,Female,1,1,Laboratory Technician,4,Divorced,1129,Yes,11,3,1,4,3,0,0,0
No,1,33,Research & Development,2,Medical,Male,2,1,Laboratory Technician,3,Divorced,2008,No,12,3,1,2,2,1,0,0
No,1,40,Research & Development,4,Life Sciences,Male,3,1,Laboratory Technician,4,Married,2406,No,19,3,8,3,2,0,0,0
Yes,1,23,Sales,3,Marketing,Male,3,1,Sales Representative,1,Married,1790,No,19,3,1,3,2,0,1,0
No,2,27,Research & Development,1,Medical,Male,3,1,Laboratory Technician,2,Married,3468,No,12,3,6,3,3,2,2,2
No,2,34,Research & Development,2,Medical,Male,3,1,Laboratory Technician,4,Divorced,2661,No,11,3,3,2,3,2,1,2
No,2,46,Sales,4,Marketing,Female,3,5,Manager,1,Single,18947,No,12,3,22,2,2,2,2,1
Yes,2,24,Research & Development,3,Medical,Male,3,1,Research Scientist,4,Married,2293,Yes,16,3,6,2,2,0,2,0
No,2,35,Sales,3,Marketing,Female,3,1,Sales Representative,4,Married,2014,No,13,3,2,3,3,2,2,2
Yes,2,28,Research & Development,4,Technical Degree,Male,3,1,Laboratory Technician,3,Single,3441,Yes,13,3,2,3,2,2,2,2
No,2,26,Sales,3,Marketing,Female,2,2,Sales Executive,4,Married,4157,Yes,19,3,5,2,2,2,0,0
